#	thds	sz	sfrac		time(s)	
	16	32786	0.750000	0.347096
	16	32786	0.750000	0.271088
	16	32786	0.750000	0.302315
	16	32786	0.750000	0.376425
	16	32786	0.750000	0.387813
	16	32786	0.750000	0.331338
	16	32786	1.000000	0.200786
	16	32786	1.000000	0.180318
	16	32786	1.000000	0.114580
	16	32786	1.000000	0.105168
	16	32786	1.000000	0.181835
	16	32786	1.000000	0.205125
	16	32786	1.000000	0.113269
	16	32786	1.000000	0.166223
	16	32786	1.000000	0.153019
	16	32786	1.000000	0.198508
	16	32786	1.000000	0.259901
	16	32786	1.000000	0.225875
	16	32786	1.000000	0.262617
	16	32786	1.000000	0.219500
	16	32786	1.000000	0.216501
	16	32786	1.000000	0.187220
	16	32786	1.000000	0.224501
	16	32786	1.000000	0.144504
	16	32786	1.000000	0.200650
	16	32786	0.750000	0.343654
	16	32786	0.750000	0.340212
	16	32786	0.750000	0.437319
	16	32786	0.750000	0.353057
	16	32786	1.000000	0.175242
	16	32786	1.000000	0.241380
	16	32786	1.000000	0.194900
	16	32786	1.000000	0.237181
	16	32786	1.000000	0.230267
	16	32786	1.000000	0.121343
	16	32786	1.000000	0.224539
	16	32786	1.000000	0.175056
	16	32786	1.000000	0.211444
	16	32786	1.000000	0.155857
	16	32786	1.000000	0.189216
	16	32786	1.000000	0.253897
	16	32786	1.000000	0.180573
	16	32786	1.000000	0.227434
	16	32786	1.000000	0.212519
	16	32786	1.000000	0.185376
	16	32786	1.000000	0.179295
	16	32786	1.000000	0.227611
	16	32786	1.000000	0.246908
	16	32786	1.000000	0.192455
	16	32786	0.950000	0.216055
	16	32786	0.950000	0.224691
	16	32786	0.950000	0.229328
	16	32786	0.950000	0.285551
	16	32786	0.950000	0.215323
	16	32786	0.950000	0.215468
	16	32786	0.950000	0.280332
	16	32786	0.950000	0.218628
	16	32786	0.990000	0.250158
	16	32786	0.990000	0.239079
	16	32786	0.990000	0.213103
	16	32786	0.990000	0.218974
	16	32786	0.990000	0.255105
	16	32786	0.990000	0.245886
	16	32786	0.990000	0.178087
	16	32786	0.990000	0.167162
	16	32786	0.990000	0.269382
	16	32786	0.990000	0.206351
	16	32786	1.000000	0.246947
	16	32786	1.000000	0.166243
	16	32786	0.500000	0.516006
	16	32786	0.500000	0.553381
	16	32786	0.500000	0.490427
	16	32786	0.800000	0.309171
	16	32786	0.800000	0.317672
	16	32786	0.800000	0.267583
	16	32786	0.800000	0.333825
	16	32786	0.800000	0.270785
	16	32786	0.800000	0.241669
	16	32786	0.800000	0.338717
	16	32786	0.800000	0.357647
	16	32786	0.800000	0.302788
	16	32786	0.800000	0.345967
	16	32786	0.800000	0.328678
	16	32786	0.800000	0.359107
	16	32786	0.800000	0.288474
	16	32786	0.800000	0.213646
	16	32786	0.800000	0.284710
	16	32786	0.800000	0.300043
	16	32786	0.800000	0.285910
	16	32786	0.800000	0.288195
	16	32786	0.800000	0.310593
	16	65536	0.800000	0.559411
	16	65536	0.800000	0.586526
	16	65536	0.800000	0.541919
	16	65536	0.800000	0.581483
	16	65536	1.000000	0.373963
	16	65536	1.000000	0.294884
	16	65536	1.000000	0.314526
	16	65536	1.000000	0.380382
	16	65536	1.000000	0.372074
	16	65536	1.000000	0.336074
	16	65536	1.000000	0.367248
	16	65536	1.000000	0.355588
	16	65536	1.000000	0.348780
	16	65536	1.000000	0.378688
	16	65536	1.000000	0.393369
	16	65536	1.000000	0.346596
	16	65536	1.000000	0.332455
	16	65536	1.000000	0.411440
	16	65536	1.000000	0.389939
	16	65536	1.000000	0.359461
	16	65536	1.000000	0.370036
	16	65536	1.000000	0.374732
	16	65536	1.000000	0.356480
	16	65536	1.000000	0.297542
	16	65536	1.000000	0.354543
	16	65536	1.000000	0.353896
	16	65536	1.000000	0.324954
	16	65536	1.000000	0.334373
	16	65536	1.000000	0.356825
	16	65536	1.000000	0.366467
	16	65536	1.000000	0.382243
	16	65536	1.000000	0.359759
	16	65536	1.000000	0.371970
	16	65536	1.000000	0.269467
	16	65536	1.000000	0.317801
	16	65536	1.000000	0.282561
	16	65536	1.000000	0.284477
	16	65536	1.000000	0.318204
	16	65536	1.000000	0.418334
	16	65536	0.900000	0.441412
	16	65536	0.900000	0.466540
	16	65536	0.900000	0.503825
	16	65536	0.900000	0.451383
	16	65536	0.900000	0.485966
	16	65536	0.950000	0.376521
	16	65536	0.950000	0.411235
	16	65536	0.950000	0.407370
	16	65536	0.950000	0.445451
	16	65536	0.950000	0.337202
	16	65536	0.950000	0.390329
	16	65536	0.950000	0.428487
	16	65536	0.950000	0.473760
	16	65536	0.950000	0.365620
	16	65536	0.950000	0.439165
	16	65536	0.950000	0.402476
	16	65536	0.950000	0.387810
	16	65536	0.950000	0.409916
	16	65536	0.950000	0.396963
	16	65536	0.950000	0.385645
	16	65536	0.950000	0.438258
	16	65536	0.950000	0.383879
	16	65536	0.950000	0.435455
	16	65536	0.950000	0.459475
	16	65536	0.990000	0.277665
	16	65536	0.990000	0.350023
	16	65536	0.990000	0.400866
	16	65536	0.990000	0.347035
	16	65536	0.990000	0.454142
	16	65536	0.990000	0.422779
	16	65536	0.990000	0.330246
	16	65536	0.990000	0.399197
	16	65536	0.990000	0.328115
	16	65536	0.990000	0.357609
	16	65536	0.990000	0.416533
	16	65536	0.990000	0.368664
	16	65536	0.990000	0.313198
	16	65536	0.990000	0.401058
	16	65536	0.990000	0.337503
	16	65536	0.990000	0.398818
	16	65536	0.990000	0.455986
	16	65536	0.990000	0.441988
	16	65536	0.990000	0.350969
	16	65536	0.990000	0.376931
	16	65536	0.990000	0.361664
	16	65536	0.990000	0.353761
	16	65536	0.990000	0.361698
	16	65536	0.990000	0.352951
	16	65536	0.990000	0.379504
	16	65536	0.990000	0.325067
	16	65536	0.990000	0.393629
	16	65536	0.990000	0.427266
	16	65536	0.990000	0.253990
	16	65536	0.990000	0.399023
	16	65536	0.990000	0.368397
	16	65536	0.990000	0.405157
	16	65536	0.990000	0.410049
	16	65536	0.990000	0.401805
	16	65536	0.990000	0.275775
	16	65536	0.990000	0.421209
	16	65536	0.990000	0.321924
	16	65536	0.990000	0.325368
	16	65536	0.990000	0.221623
	16	65536	0.990000	0.341458
	16	65536	0.990000	0.393344
	16	65536	0.990000	0.377133
	16	65536	0.990000	0.397469
	16	65536	0.990000	0.430026
	16	65536	0.990000	0.355029
	16	65536	0.990000	0.311735
	16	65536	0.990000	0.347879
	16	65536	0.990000	0.376095
	16	65536	0.990000	0.341372
	16	65536	0.990000	0.418446
	16	65536	0.990000	0.397146
	16	65536	0.990000	0.362900
	16	65536	0.990000	0.363694
	16	65536	0.990000	0.309049
	16	65536	0.990000	0.287320
	16	65536	0.990000	0.350152
	16	65536	0.990000	0.262616
	16	65536	0.990000	0.320996
	16	65536	0.990000	0.334350
	16	65536	0.990000	0.371688
	16	65536	0.990000	0.402443
	16	65536	0.990000	0.417122
	16	65536	0.990000	0.350054
	16	65536	0.990000	0.386814
	16	65536	0.990000	0.362351
	16	65536	0.990000	0.368381
	16	65536	0.990000	0.371264
	16	65536	0.990000	0.366463
	16	65536	0.990000	0.390195
	16	65536	0.990000	0.384008
	16	65536	0.990000	0.339863
	16	65536	0.990000	0.377885
	16	65536	0.990000	0.348194
	16	65536	0.990000	0.379045
	16	65536	0.990000	0.318762
	16	65536	0.990000	0.361109
	16	65536	0.990000	0.298011
	16	65536	0.990000	0.368878
	16	65536	0.990000	0.367675
	16	65536	0.990000	0.322182
	16	65536	0.990000	0.341296
	16	65536	1.000000	0.397357
	16	65536	0.990000	0.407180
	16	65536	0.990000	0.287628
	16	65536	0.990000	0.376651
	16	65536	0.990000	0.377545
	16	65536	0.990000	0.330605
	16	65536	0.990000	0.435273
	16	65536	0.990000	0.272007
	16	65536	0.990000	0.395034
	16	65536	0.990000	0.358823
	16	65536	0.990000	0.291742
	16	65536	0.990000	0.429012
	16	65536	0.990000	0.342305
	16	65536	0.990000	0.347631
	16	65536	0.990000	0.377793
	16	65536	0.990000	0.419791
	16	65536	0.990000	0.379962
	16	65536	0.999000	0.394374
	16	65536	0.999000	0.266041
	16	65536	0.980000	0.401344
	16	65536	0.980000	0.422133
	16	65536	0.980000	0.379612
	16	65536	0.500000	0.578581
	16	65536	0.500000	0.594275
	16	65536	0.500000	0.601733
	16	65536	0.500000	0.542566
	16	65536	0.500000	0.566289
	16	65536	0.500000	0.574820
	16	65536	0.500000	0.571333
	16	65536	0.500000	0.633461
	16	65536	0.500000	0.624936
	16	65536	0.500000	0.605902
	16	65536	0.500000	0.605893
	16	65536	0.500000	0.565463
	16	65536	0.500000	0.595250
	16	65536	0.500000	0.595456
	16	65536	0.500000	0.623984
	16	65536	0.500000	0.636989
	16	65536	0.500000	0.562155
	16	65536	0.500000	0.601710
	16	65536	0.500000	0.567453
	16	65536	0.500000	0.604163
	16	65536	0.500000	0.533495
	16	65536	0.500000	0.630249
	16	65536	0.500000	0.626116
	16	65536	0.500000	0.605246
	16	65536	0.500000	0.587929
	16	65536	0.500000	0.598861
	16	65536	0.500000	0.609700
	16	65536	0.300000	0.711437
	16	65536	0.300000	0.636564
	16	65536	0.300000	0.688278
	16	65536	0.300000	0.740892
	16	65536	0.300000	0.814094
	16	65536	0.300000	0.687422
	16	65536	0.300000	0.766615
	16	65536	0.300000	0.677383
	16	65536	0.330000	0.713032
	16	65536	0.250000	0.734846
	16	65536	0.250000	0.756595
	16	65536	0.250000	0.697355
	16	65536	0.250000	0.754075
	16	65536	0.250000	0.649947
	16	65536	0.250000	0.721122
	16	65536	0.250000	0.660645
	16	65536	0.250000	0.739467
	16	65536	0.500000	0.569727
	16	65536	0.500000	0.563456
	16	65536	0.500000	0.570906
	16	65536	0.500000	0.644620
	16	65536	0.500000	0.554906
	16	65536	0.500000	0.597943
	16	65536	0.000000	0.851492
	16	65536	0.000000	0.720157
	16	65536	0.000000	0.871657
	16	65536	0.000000	0.832524
	16	65536	0.000000	0.780527
	16	65536	0.000000	0.815448
	16	65536	0.000000	0.920810
	16	65536	0.000000	0.765579
	16	65536	0.000000	0.840308
	16	65536	1.000000	0.367127
	16	65536	1.000000	0.342202
	16	65536	1.000000	0.393277
	16	65536	1.000000	0.369094
	16	65536	1.000000	0.398832
	16	65536	1.000000	0.335685
	16	65536	1.000000	0.367370
	16	65536	1.000000	0.375884
	16	65536	1.000000	0.319668
	16	65536	1.000000	0.341176
	16	65536	1.000000	0.310639
	16	65536	1.000000	0.330269
	16	65536	1.000000	0.338146
	16	65536	1.000000	0.404174
	16	65536	1.000000	0.357709
	16	65536	1.000000	0.392183
	16	65536	1.000000	0.382104
	16	65536	1.000000	0.403107
	16	65536	0.500000	0.719723
	16	16384	1.000000	0.223698
	16	16384	1.000000	0.175975
	16	65536	0.500000	0.720012
	16	16384	1.000000	0.069826
	16	16384	1.000000	0.106708
	16	16384	1.000000	0.176830
	16	16384	1.000000	0.112319
	16	16384	1.000000	0.099462
	16	16384	1.000000	0.139553
	16	16384	1.000000	0.132568
	16	16384	1.000000	0.039469
	16	16384	1.000000	0.086032
	16	16384	1.000000	0.151037
	16	16384	1.000000	0.111629
	16	16384	1.000000	0.090839
	16	16384	1.000000	0.064930
	16	16384	1.000000	0.099680
	16	16384	1.000000	0.102650
	16	16384	1.000000	0.125237
	16	16384	1.000000	0.081241
	16	16384	1.000000	0.038537
	16	16384	1.000000	0.102428
	16	16384	1.000000	0.090637
	16	16384	1.000000	0.131886
	16	16384	1.000000	0.080539
	16	16384	1.000000	0.138313
	16	16384	1.000000	0.094475
	16	16384	1.000000	0.107890
	16	16384	1.000000	0.102668
	16	16384	1.000000	0.122684
	16	16384	1.000000	0.059506
	16	16384	1.000000	0.090244
	16	16384	1.000000	0.077254
	16	16384	1.000000	0.105724
	16	16384	1.000000	0.119039
	16	16384	1.000000	0.063782
	16	16384	1.000000	0.120025
	16	16384	1.000000	0.063747
	16	16384	1.000000	0.113133
	16	16384	1.000000	0.111514
	16	16384	1.000000	0.096588
	16	16384	1.000000	0.099285
	16	16384	1.000000	0.101112
	16	16384	1.000000	0.083780
	16	16384	1.000000	0.089359
	16	16384	1.000000	0.081822
	16	16384	1.000000	0.119768
	16	16384	1.000000	0.126397
	16	16384	1.000000	0.083428
	16	16384	1.000000	0.073499
	16	16384	1.000000	0.094887
	16	16384	1.000000	0.099044
	16	16384	1.000000	0.082435
	16	16384	1.000000	0.110372
	16	16384	1.000000	0.049500
	16	16384	1.000000	0.154416
	16	16384	1.000000	0.127942
	16	16384	1.000000	0.127296
	16	16384	1.000000	0.098736
	16	16384	1.000000	0.101221
	16	16384	1.000000	0.087831
	16	16384	1.000000	0.149346
	16	16384	1.000000	0.110691
	16	16384	1.000000	0.128764
	16	16384	1.000000	0.116503
	16	16384	1.000000	0.111532
	16	16384	1.000000	0.103317
	16	16384	1.000000	0.143335
	16	16384	1.000000	0.110941
	16	16384	1.000000	0.133698
	16	16384	1.000000	0.078946
	16	16384	1.000000	0.079751
	16	16384	1.000000	0.123486
	16	16384	1.000000	0.138915
	16	16384	1.000000	0.089338
	16	16384	1.000000	0.107205
	16	16384	1.000000	0.043565
	16	16384	1.000000	0.117240
	16	16384	1.000000	0.130291
	16	16384	1.000000	19.201123
	16	16384	1.000000	69.629283
	16	16384	1.000000	5.209281
	16	16384	1.000000	26.787400
	16	16384	1.000000	30.209203
	16	16384	1.000000	24.852287
	16	16384	1.000000	31.384817
	16	16384	1.000000	41.493242
	16	16384	1.000000	17.030746
	10	65536	64.000000	0.000307
	64	16384	0.500000	12.522175
	64	16384	0.500000	23.687616
	64	16384	0.500000	17.126517
	64	16384	1.000000	59.371867
	64	16384	1.000000	5.713455
	64	16384	1.000000	19.870793
	64	16384	1.000000	57.557801
	64	16384	1.000000	9.786463
	64	16384	1.000000	30.842701
	64	16384	1.000000	22.733025
	64	16384	1.000000	4.535854
	64	16384	1.000000	0.574137
	64	16384	1.000000	1.330539
	64	16384	1.000000	0.221892
	64	16384	1.000000	0.948253
	64	16384	1.000000	0.779790
	64	16384	1.000000	0.518913
	64	16384	1.000000	0.259549
	64	16384	1.000000	0.400759
	64	16384	1.000000	1.047692
	64	16384	1.000000	0.478542
	64	16384	0.500000	0.561840
	64	16384	0.500000	0.276291
	64	16384	0.500000	0.197453
	64	16384	0.500000	0.235992
	64	16384	0.500000	0.204982
	64	16384	0.500000	0.834895
	64	16384	0.500000	0.758193
	64	16384	0.500000	0.396725
	64	16384	0.500000	0.519056
	64	16384	0.500000	0.825935
	64	16384	0.500000	0.389401
	64	16384	0.500000	0.525820
	64	16384	0.500000	0.706325
	64	16384	1.000000	0.045285
	64	16384	1.000000	0.007395
	64	16384	1.000000	0.010333
	64	16384	1.000000	0.024866
	64	16384	1.000000	0.020515
	64	16384	1.000000	0.022821
	64	16384	1.000000	0.001654
	64	16384	1.000000	0.011809
	64	16384	1.000000	0.251197
	64	16384	1.000000	0.147298
	64	16384	1.000000	0.409527
	64	16384	1.000000	0.442181
	64	16384	1.000000	0.379852
	64	65536	1.000000	0.249020
	64	65536	1.000000	0.152337
	64	65536	1.000000	0.268405
	64	65536	1.000000	0.228234
	64	65536	1.000000	0.390466
	64	65536	1.000000	0.419993
	64	65536	1.000000	0.220754
	64	65536	1.000000	0.523527
	64	65536	1.000000	0.166863
	64	65536	1.000000	0.197412
	64	65536	1.000000	0.164730
	64	65536	1.000000	0.414401
	64	65536	1.000000	0.153957
	64	65536	1.000000	0.268142
	64	65536	1.000000	0.198066
	64	65536	1.000000	0.064925
	64	65536	1.000000	0.042952
	64	65536	1.000000	0.015675
	64	65536	1.000000	0.016111
	64	65536	1.000000	0.014570
	64	65536	1.000000	0.053927
	64	65536	1.000000	0.011390
	64	65536	1.000000	0.222649
	64	65536	1.000000	0.015884
	64	65536	1.000000	0.102597
	64	65536	1.000000	0.344887
	64	65536	1.000000	0.197648
	64	65536	1.000000	0.278057
	64	65536	1.000000	0.241357
	64	65536	1.000000	0.133993
	64	256	1.000000	0.254688
	64	256	1.000000	0.338878
	64	256	1.000000	0.197768
	64	65536	1.000000	0.128298
	64	65536	1.000000	0.179231
	64	65536	1.000000	0.169405
	64	65536	1.000000	0.144681
	64	65536	1.000000	0.259687
	64	65536	1.000000	0.376226
	64	65536	1.000000	0.208095
	64	65536	1.000000	0.422935
	64	65536	1.000000	0.498823
	64	65536	1.000000	0.192762
	64	65536	1.000000	0.000146
	64	65536	1.000000	0.000284
	64	65536	1.000000	0.000152
	64	65536	1.000000	0.000114
	64	65536	1.000000	0.011229
	64	65536	1.000000	0.007971
	64	65536	1.000000	0.000148
	64	65536	1.000000	0.000975
	64	65536	1.000000	0.000209
	64	65536	1.000000	0.000230
	64	65536	1.000000	0.031990
	64	65536	1.000000	0.000166
	64	65536	1.000000	0.079983
	64	65536	1.000000	0.000968
	64	65536	1.000000	0.028210
	64	65536	1.000000	0.000301
	64	65536	1.000000	0.010545
	64	65536	1.000000	0.000192
	64	65536	1.000000	0.000433
	64	65536	1.000000	0.000283
	64	65536	1.000000	0.000230
	64	65536	0.500000	0.001484
	64	65536	0.500000	0.000441
	64	65536	0.500000	0.000616
	64	65536	0.500000	0.725678
	64	65536	0.500000	0.522024
	64	65536	0.500000	0.730269
	64	65536	0.500000	0.596417
	64	65536	0.500000	0.813195
	64	65536	0.800000	0.681388
	64	65536	0.800000	0.513654
	64	65536	1.000000	0.358759
	64	65536	1.000000	0.459433
	64	65536	1.000000	0.400541
	64	65536	1.000000	0.190634
	64	65536	1.000000	0.190721
	64	65536	1.000000	0.198831
	64	65536	1.000000	0.211073
	64	65536	1.000000	0.248838
	64	65536	1.000000	0.192502
	64	65536	1.000000	0.145016
	64	65536	1.000000	0.344320
	64	65536	1.000000	0.148619
	64	65536	0.300000	0.986883
	64	65536	0.300000	0.732955
	64	65536	0.300000	0.902656
	64	65536	0.200000	1.052969
	64	65536	0.200000	0.721208
	64	65536	0.200000	0.991116
	64	65536	0.200000	0.591336
	64	65536	0.200000	0.919603
	64	65536	0.200000	0.666788
	64	65536	0.000000	0.957479
	64	65536	0.000000	0.876287
	64	65536	1.000000	0.280768
	64	65536	1.000000	0.261484
	64	65536	1.000000	0.268401
	64	65536	1.000000	0.363947
	64	65536	1.000000	0.248783
	64	65536	0.000000	4.766334
	64	65536	0.000000	5.288349
	64	16384	0.000000	2.869107
	64	16384	0.000000	2.063476
	64	16384	0.000000	0.054278
	64	16384	0.000000	0.008232
	64	16384	0.000000	0.008807
	64	16384	0.000000	0.012103
	64	16384	0.000000	0.012088
	64	16384	0.000000	0.000884
	64	16384	0.000000	0.043642
	64	16384	0.000000	0.000470
	64	16384	0.000000	0.000680
	64	16384	0.000000	0.000498
	64	65536	0.000000	0.215912
	64	65536	0.000000	0.588899
	64	65536	0.000000	0.625468
	64	65536	0.000000	0.226452
	64	65536	0.000000	0.585739
	64	65536	0.000000	0.365884
	64	65536	0.800000	0.186286
	64	65536	0.800000	0.057357
	64	65536	0.800000	0.444011
	64	65536	0.800000	0.045210
	64	65536	1.000000	0.372078
	64	65536	1.000000	0.445538
	64	65536	1.000000	0.689356
	64	65536	1.000000	0.365404
	64	65536	1.000000	0.235444
	64	65536	1.000000	0.331592
	64	65536	1.000000	0.117675
	64	65536	1.000000	0.325988
	64	65536	1.000000	0.049821
	64	65536	1.000000	0.316271
	64	65536	1.000000	1.008869
	64	65536	1.000000	0.878459
	64	65536	1.000000	0.327908
	64	65536	1.000000	0.020198
	64	65536	1.000000	0.774021
	64	65536	1.000000	0.373840
	64	65536	1.000000	0.017179
	64	65536	1.000000	0.591993
	64	65536	1.000000	0.449045
	64	65536	1.000000	0.291054
	64	65536	1.000000	0.014636
	64	65536	1.000000	0.813201
	64	65536	1.000000	0.015112
	64	65536	1.000000	0.437624
	64	65536	0.500000	0.648587
	64	65536	0.500000	0.361104
	64	65536	0.500000	0.074954
	64	65536	0.500000	0.574380
	64	65536	0.500000	0.608179
	64	65536	0.500000	0.117784
	64	65536	0.500000	0.392162
	64	65536	0.500000	0.279851
	64	65536	0.500000	0.662398
	64	65536	0.500000	0.806178
	64	65536	0.500000	0.885330
	64	65536	0.500000	0.125359
	64	65536	0.500000	0.254541
	64	65536	0.500000	0.353679
	64	65536	0.500000	0.796148
	64	65536	0.500000	0.306175
	64	65536	0.500000	0.686761
	64	65536	0.500000	0.737113
	64	65536	0.500000	0.770997
	64	65536	0.500000	0.743686
	64	65536	0.500000	0.544132
	64	65536	0.500000	0.059781
	64	65536	0.500000	1.326414
	64	65536	0.500000	1.499307
	64	65536	0.500000	1.747987
	64	65536	0.500000	1.578080
	64	65536	1.000000	1.088558
	64	65536	1.000000	0.217177
	64	65536	1.000000	0.655411
	64	65536	1.000000	0.066406
	64	65536	1.000000	1.981860
	64	65536	1.000000	1.626605
	64	65536	1.000000	1.246079
	64	65536	1.000000	0.524055
	64	65536	1.000000	1.091982
	64	65536	1.000000	1.503181
	64	65536	1.000000	0.849233
	64	65536	1.000000	2.097935
	64	65536	1.000000	11.614289
	64	65536	1.000000	10.967198
	64	65536	1.000000	4.955976
